method,metric,slice_agg,across_volumes_sum,across_volumes_mean,across_volumes_median,across_volumes_std
original,snr,sum,20343.106425882117,1453.0790304201512,1343.596489432919,282.2133548319557
original,snr,mean,101.71553212941058,7.265395152100756,6.717982447164594,1.4110667741597787
original,snr,median,65.46848109204159,4.676320078002971,4.250262644362115,1.0296601524062354
original,snr,global,52.483155154530024,3.7487967967521447,3.7369191291552317,0.08194145154205831
original,enl,sum,264027.27540641464,18859.09110045819,14754.659313698454,9671.946761043746
original,enl,mean,1320.1363770320736,94.29545550229098,73.77329656849227,48.359733805218724
original,enl,median,321.00900174553914,22.92921441039565,18.065529208791965,11.555395119632045
original,enl,global,196.84268554747948,14.060191824819963,13.96461239932591,0.6160019299519623
original,cnr,sum,7244.679765895032,517.4771261353594,511.4845990110377,31.513103953063705
original,cnr,mean,36.22339882947516,2.587385630676797,2.5574229950551883,0.15756551976531855
original,cnr,median,34.329410857148545,2.4521007755106106,2.443515550909072,0.18220420352911892
original,cnr,global,32.14808551032477,2.296291822166055,2.2949492771627265,0.11310943104605706
original,beta,sum,2800.0,200.0,200.0,0.0
original,beta,mean,14.0,1.0,1.0,0.0
original,beta,median,14.0,1.0,1.0,0.0
original,beta,global,14.0,1.0,1.0,0.0
original,snr_bg,sum,18907.753164584945,1350.5537974703532,1358.3607408803773,55.376537427995814
original,snr_bg,mean,94.53876582292472,6.752768987351765,6.791803704401887,0.27688268713997904
original,snr_bg,median,93.51089873454924,6.67934990961066,6.73769166439977,0.26729850920356535
original,snr_bg,global,101.38581145682866,7.241843675487762,7.203600863596613,0.23284344788074876
original,enl_bg,sum,16676.832093412722,1191.202292386623,1164.5129245833164,150.84402184778557
original,enl_bg,mean,83.3841604670636,5.956011461933114,5.822564622916581,0.7542201092389278
original,enl_bg,median,84.39909995242299,6.028507139458784,5.921216596128286,0.7179126558895823
original,enl_bg,global,70.88167802177506,5.062977001555361,4.805620586615013,0.7665889554603096
original,cnr_bg,sum,12131.775019484603,866.5553585346145,876.8590423457513,72.47112723159829
original,cnr_bg,mean,60.658875097423014,4.332776792673072,4.384295211728756,0.3623556361579915
original,cnr_bg,median,58.493942228466715,4.178138730604766,4.249178266028316,0.39600156161541983
original,cnr_bg,global,69.96428561394976,4.997448972424983,4.9443170858260075,0.2984767653579631
original,bg_sigma,sum,32013.34242030876,2286.66731573634,2264.47694741043,87.88315230803966
original,bg_sigma,mean,160.0667121015438,11.4333365786817,11.32238473705215,0.43941576154019846
original,bg_sigma,median,160.59586491288252,11.471133208063037,11.249508678722947,0.5710147278103714
original,bg_sigma,global,167.17330727350836,11.940950519536312,11.840024625022583,0.514808403459353
gaussian,snr,sum,13452.194322929414,960.8710230663867,934.9358216280493,140.13164637136137
gaussian,snr,mean,67.26097161464708,4.804355115331934,4.674679108140246,0.700658231856807
gaussian,snr,median,56.929101092823785,4.066364363773127,4.0184418002145,0.30535883127755525
gaussian,snr,global,50.409487315408285,3.600677665386306,3.617591839171374,0.21680322252468454
gaussian,enl,sum,85247.45602689024,6089.104001920731,5586.3085176841305,2259.096119046608
gaussian,enl,mean,426.23728013445117,30.445520009603655,27.931542588420655,11.29548059523304
gaussian,enl,median,232.80483749690904,16.62891696406493,16.15063834166279,2.518850556443068
gaussian,enl,global,182.16636602232407,13.011883287308862,13.087446473428193,1.556631282949901
gaussian,cnr,sum,4224.562253398124,301.7544466712946,293.5096189757867,58.95076838588066
gaussian,cnr,mean,21.12281126699062,1.5087722333564728,1.4675480948789332,0.29475384192940324
gaussian,cnr,median,20.162280353895447,1.4401628824211035,1.4409314246186598,0.33597054559396455
gaussian,cnr,global,28.24210629127616,2.0172933065197256,2.060274187883884,0.21427566745242363
gaussian,beta,sum,871.8978286404955,62.278416331463966,62.49861025021818,9.703401415387553
gaussian,beta,mean,4.3594891432024765,0.31139208165731974,0.3124930512510909,0.04851700707693776
gaussian,beta,median,4.29798047319371,0.3069986052281221,0.30085926953336317,0.05209212365366497
gaussian,beta,global,7.205482610315297,0.5146773293082355,0.5064974732542019,0.035959333283330855
gaussian,snr_bg,sum,25229.713597329224,1802.1223998092303,1781.64074158061,169.24010424991658
gaussian,snr_bg,mean,126.1485679866461,9.01061199904615,8.908203707903048,0.8462005212495828
gaussian,snr_bg,median,120.67109553861127,8.619363967043663,7.906323120004059,1.5621749861849332
gaussian,snr_bg,global,101.43036216689593,7.245025869063995,7.211639092611323,0.2515683297140523
gaussian,enl_bg,sum,94796.3900510326,6771.1707179309005,5597.3554570886035,2381.22855441532
gaussian,enl_bg,mean,473.98195025516304,33.8558535896545,27.98677728544302,11.906142772076606
gaussian,enl_bg,median,294.5886156465271,21.042043974751937,15.866284486023709,13.72072817752556
gaussian,enl_bg,global,104.77792152819619,7.484137252014014,7.159194554981671,1.8541983240970046
gaussian,cnr_bg,sum,10936.143184577199,781.153084612657,803.9489489803001,158.8232542822262
gaussian,cnr_bg,mean,54.680715922886,3.905765423063286,4.019744744901501,0.794116271411131
gaussian,cnr_bg,median,43.310689856522124,3.0936207040372947,3.2552032211026463,0.7417846133758776
gaussian,cnr_bg,global,63.36153756605826,4.525824111861304,4.496546849440374,0.3490581136347648
gaussian,bg_sigma,sum,22595.335728610964,1613.9525520436403,1597.2188120235728,211.85609724715127
gaussian,bg_sigma,mean,112.97667864305481,8.0697627602182,7.986094060117864,1.0592804862357563
gaussian,bg_sigma,median,99.54988935580866,7.110706382557761,7.114995337777022,2.4765171046830696
gaussian,bg_sigma,global,146.4084150328841,10.457743930920293,10.393208843552111,0.8310245172306338
median,snr,sum,9901.863263247114,707.2759473747939,706.0576780871538,43.178512424812546
median,snr,mean,49.50931631623557,3.536379736873969,3.530288390435769,0.21589256212406274
median,snr,median,49.57060267701969,3.5407573340728353,3.537463629826356,0.22624903540585095
median,snr,global,45.828446989950066,3.2734604992821477,3.2815911343138646,0.19329548987358336
median,enl,sum,37145.28752030965,2653.2348228792607,2668.781781651644,338.64694343011263
median,enl,mean,185.72643760154824,13.266174114396303,13.34390890825822,1.693234717150563
median,enl,median,176.23429885677496,12.588164204055355,12.514087515399671,1.609612537863469
median,enl,global,150.54069501472392,10.752906786765994,10.768954778909267,1.2662909456773674
median,cnr,sum,3763.4000878044426,268.8142919860316,265.25817024579356,59.75693986331167
median,cnr,mean,18.817000439022213,1.344071459930158,1.326290851228968,0.2987846993165583
median,cnr,median,19.252720214321464,1.3751943010229617,1.3837288126449243,0.3318857746386614
median,cnr,global,26.763239747888964,1.9116599819920688,1.9463006849498938,0.20104447182943344
median,beta,sum,833.6502323797317,59.546445169980835,59.18421043028331,11.772468996860297
median,beta,mean,4.168251161898658,0.2977322258499041,0.2959210521514165,0.05886234498430148
median,beta,median,4.24166017093167,0.3029757264951193,0.29602075635282965,0.06948066896590153
median,beta,global,7.283795317396457,0.5202710940997469,0.5125009096138755,0.04442142078830704
median,snr_bg,sum,19548.912834406277,1396.3509167433056,1384.2569457757054,101.9709417679038
median,snr_bg,mean,97.74456417203139,6.981754583716528,6.921284728878527,0.5098547088395191
median,snr_bg,median,88.02390255833264,6.287421611309474,6.175940347583174,0.39802878829505023
median,snr_bg,global,99.62849888353178,7.116321348823698,7.049496635620606,0.26684251344067594
median,enl_bg,sum,40662.00155350534,2904.4286823932384,2599.107251076116,676.6188174437083
median,enl_bg,mean,203.31000776752677,14.522143411966198,12.995536255380578,3.3830940872185415
median,enl_bg,median,174.3471656917359,12.453368977981137,10.85585870674383,5.136473810539175
median,enl_bg,global,91.61886203256381,6.544204430897415,6.309679767388831,1.3955729782128783
median,cnr_bg,sum,9423.523743196509,673.1088387997506,690.4389697898716,150.71002276937037
median,cnr_bg,mean,47.11761871598255,3.365544193998754,3.4521948489493584,0.753550113846852
median,cnr_bg,median,41.0564222155315,2.9326015868236786,2.992016347387512,0.7595062281513387
median,cnr_bg,global,63.97960288736929,4.5699716348120925,4.541902343473142,0.39089776058736253
median,bg_sigma,sum,26147.705552921678,1867.69325378012,1858.556292158266,159.8450288035553
median,bg_sigma,mean,130.73852776460842,9.338466268900602,9.292781460791328,0.7992251440177762
median,bg_sigma,median,116.93650087809549,8.352607205578249,8.32399069186141,2.0319847666609054
median,bg_sigma,global,154.77182774940016,11.055130553528583,11.012299749128463,0.7481535237944493
bilateral,snr,sum,16324.818957458907,1166.0584969613506,1102.7926514384421,247.38342380905988
bilateral,snr,mean,81.62409478729452,5.830292484806752,5.513963257192211,1.2369171190452992
bilateral,snr,median,61.048220825446776,4.360587201817627,4.227971926039068,0.3830005611668025
bilateral,snr,global,52.07877322703772,3.719912373359837,3.684296803535652,0.23140366971090107
bilateral,enl,sum,148877.3635660536,10634.097397575257,9227.99089485106,5563.474303263396
bilateral,enl,mean,744.3868178302679,53.17048698787628,46.139954474255305,27.81737151631698
bilateral,enl,median,268.2604665993182,19.1614618999513,17.87661222162669,3.485915516017192
bilateral,enl,global,194.47814013363814,13.891295723831295,13.574325142094406,1.7392063075902955
bilateral,cnr,sum,5427.483237424022,387.6773741017159,386.3467967428884,52.45255562117986
bilateral,cnr,mean,27.137416187120113,1.9383868705085796,1.9317339837144418,0.2622627781058993
