stem,method,depth_axis,n_slices,threshold,snr_sum,snr_mean,snr_median,global_snr,enl_sum,enl_mean,enl_median,global_enl,cnr_sum,cnr_mean,cnr_median,global_cnr,beta_sum,beta_mean,beta_median,global_beta,snr_bg_sum,snr_bg_mean,snr_bg_median,global_snr_bg,enl_bg_sum,enl_bg_mean,enl_bg_median,global_enl_bg,cnr_bg_sum,cnr_bg_mean,cnr_bg_median,global_cnr_bg,bg_sigma_sum,bg_sigma_mean,bg_sigma_median,global_bg_sigma
2401,original,1,200,60.0,1233.9640829225418,6.169820414612709,4.151947676739442,3.892068975198587,12742.92624708767,63.71463123543835,17.238751870363238,15.148200907703378,542.0329194980088,2.710164597490044,2.5907489512440054,2.4507499305509906,200.0,1.0,1.0,1.0,1414.235153927333,7.071175769636665,6.898364030803558,7.394882445699755,1015.5543615055161,5.07777180752758,5.139821334900695,4.549374496498432,965.514009515177,4.827570047575885,4.606822250112078,5.261956170251297,2466.5526005229053,12.332763002614527,12.541627572896148,12.702751625059731
2401,gaussian,1,200,60.0,869.0784780079393,4.345392390039697,4.200998291019109,3.9270624766491005,3902.289463571941,19.511447317859705,17.648387192532702,15.421819695505366,419.5426214570809,2.0977131072854043,1.9718316916841605,2.2986680590101605,70.4845063371007,0.35242253168550347,0.36145063649640974,0.5257080408332925,1701.2108386857028,8.506054193428515,7.034026777780852,7.463920762080062,3724.431213502124,18.62215606751062,6.975422451957743,6.386613860735632,941.7496783321644,4.708748391660822,3.970979975299907,4.936745686875411,1953.6688254844987,9.768344127422493,10.813530119542992,11.255617463590866
2401,median,1,200,60.0,746.9336941495789,3.734668470747894,3.7361319958433197,3.5778820099618676,2863.962517699074,14.31981258849537,13.95868509644359,12.801239677208773,384.25043365131927,1.9212521682565964,1.889776633833041,2.179251175470552,71.58624756516602,0.3579312378258301,0.40056988424883155,0.5329932393212256,1469.9606472644425,7.349803236322213,6.639730470461878,7.3560852942017,1998.5201782642835,9.992600891321418,6.25011548396998,5.634453632300208,869.5321083536649,4.347660541768324,3.7570812610944326,4.9823848850724834,2150.4779999174557,10.752389999587278,11.47447478567369,11.869551266890324
2401,bilateral,1,200,60.0,948.1390042012015,4.740695021006007,4.434960991337318,4.038363486700349,4836.3698898637895,24.181849449318946,19.66888657102615,16.3083796507146,502.14086906757836,2.5107043453378917,2.330669186787449,2.56339365860905,147.4366866430903,0.7371834332154514,0.7703841048520066,0.8549116496166248,2064.472906130437,10.322364530652186,8.711178109738347,9.084541618479081,3621.6096395435197,18.108048197717597,10.06285473229185,7.694781938393924,1273.0869473786802,6.365434736893401,4.975051954947709,6.310594622158869,1592.8427345116777,7.9642136725583885,8.467730122145003,9.486391804993062
2401,tv,1,200,60.0,900.263662738884,4.50131831369442,4.271847907579554,3.987923128416597,4276.892810828878,21.38446405414439,18.248739820974585,15.903530878160016,434.4136967990807,2.1720684839954036,2.0139755471945686,2.3611337859348245,87.53592637494832,0.43767963187474157,0.4999257878116772,0.6021585293040842,1915.3491357187297,9.576745678593648,7.397583240873701,7.889277408451762,5657.628872734349,28.288144363671744,7.9391841047090494,7.051230673406414,1033.2280973893562,5.166140486946781,4.2363973346591415,5.233862059884534,1823.1330519843848,9.115665259921924,10.319574086431185,10.690960571884455
2401,wavelet,1,200,60.0,950.0497124669838,4.750248562334919,4.164228525187129,3.8286447981558887,5306.9053002063465,26.53452650103173,17.340812413616963,14.658520990446146,505.1158246577108,2.525579123288554,2.450684110877762,2.451230034003316,156.99393572678224,0.7849696786339112,0.8343048568546394,0.8981627560755845,1650.5116795266283,8.252558397633141,7.777890760186937,8.519260417040822,1634.8930961753667,8.174465480876833,7.268474437006606,6.448789289842212,1085.218679281068,5.42609339640534,4.979636745047454,5.979813766716737,2007.5543631642145,10.037771815821072,10.455268055203483,10.67121794415899
2401,nlm,1,200,60.0,866.7979693591556,4.333989846795777,4.0849065940667035,3.8097273971694943,4052.176621728376,20.26088310864188,16.68646433959684,14.51402284074385,421.96854985495423,2.109842749274771,1.9699117682528529,2.291187499441086,85.06347572361439,0.42531737861807195,0.48094856866025953,0.5989070437213772,1838.7514624985674,9.193757312492837,7.437933921445674,7.9246363066798615,4635.5683132158765,23.177841566079383,7.781249869628347,6.951592407071416,1014.1259589847775,5.070629794923888,4.27789482394928,5.288049041469128,1852.135053802815,9.260675269014076,10.324290353550321,10.705948778723503
2404,original,1,200,61.0,1243.8907890968185,6.2194539454840925,5.028314794971296,3.7300038215256017,11313.850752935865,56.569253764679324,25.283981049456674,13.912928508595593,511.9849412708662,2.559924706354331,2.4965417534839984,2.2855766581534493,200.0,1.0,1.0,1.0,1392.732513019505,6.963662565097525,6.882240956149322,7.522629463079198,1377.9401752140554,6.889700876070277,6.760253102850933,5.65286424217819,869.8989455426364,4.349494727713182,4.113887615117067,5.145054176746884,2369.6352199193107,11.848176099596554,11.64426973418458,12.42025859608831
2404,gaussian,1,200,61.0,772.4252701178409,3.8621263505892047,3.7113440071398114,3.668690342183215,3343.0059337162493,16.715029668581245,13.774112467115192,13.459288826828395,273.60929697603274,1.3680464848801637,1.22597060238073,2.0471580846561332,83.46939765676414,0.4173469882838207,0.3972793019311618,0.6056464038131001,2083.5580450123534,10.417790225061767,10.635386634613814,7.2151899018272045,8537.3979193909,42.6869895969545,39.31631627595611,7.281834449868106,902.424126857683,4.512120634288415,3.2645129290930783,4.516702464415626,1648.6263440070982,8.24313172003549,4.673711909417886,11.541897320842798
2404,median,1,200,61.0,638.1207704821092,3.1906038524105456,3.2876544722173904,3.3580338617131624,2143.822216300926,10.719111081504629,10.808674286016853,11.276391416412215,249.54297036435713,1.2477148518217858,1.1694990316452285,1.9432835580356522,82.15758594684732,0.4107879297342366,0.3978246425593517,0.6480830516947974,1540.7005916447592,7.703502958223797,6.7064130073563835,7.139376686046032,3673.744834134956,18.36872417067478,19.11307016384155,6.623635112819765,719.2572940275629,3.5962864701378146,2.5370987788468495,4.5657343035811015,1925.5595839536718,9.627797919768359,6.4674568015345315,12.059052236916973
