method,snr,enl,cnr,beta,time_s
Original,5.5524194663127195,30.829361929888424,3.1333636945518397,1.0,0.0
gaussian,8.21691552162429,67.51770068951019,3.834479801563132,0.3452881263455993,0.1
median,6.849282004854597,46.91266398202501,3.802812266364766,0.19748148211608837,0.21
bilateral,7.074215708221184,50.04452788644334,3.7338284546785103,0.7968882179906106,34.33
tv,8.411357352444737,70.75093251052614,4.048139375796419,0.4755619085686851,2.24
wavelet,5.941361911348194,35.29978136161906,3.3757774024409932,0.8824153033876265,0.55
nlm,7.911437311226731,62.590840329470446,4.130411239143727,0.2752395054783122,0.99
bm3d,5.846264021162732,34.17880300514183,3.519666061221298,0.8998618184361743,686.8
